model_id,notebook,enabled
google/gemma-4-12B-it,google__gemma-4-12B-it.ipynb,yes
Qwen/Qwen3.5-9B,Qwen__Qwen3.5-9B.ipynb,yes
Qwen/Qwen3.5-4B,Qwen__Qwen3.5-4B.ipynb,yes
google/gemma-4-E2B-it,google__gemma-4-E2B-it.ipynb,yes
openai/privacy-filter,openai__privacy-filter.ipynb,yes
openbmb/MiniCPM5-1B,openbmb__MiniCPM5-1B.ipynb,yes
Qwen/Qwen3-0.6B,Qwen__Qwen3-0.6B.ipynb,yes
openbmb/MiniCPM-V-4.6,openbmb__MiniCPM-V-4.6.ipynb,yes
Qwen/Qwen3-8B,Qwen__Qwen3-8B.ipynb,yes
google/gemma-4-E4B,google__gemma-4-E4B.ipynb,yes
google/gemma-3-12b-it,google__gemma-3-12b-it.ipynb,yes
Qwen/Qwen3-VL-8B-Instruct,Qwen__Qwen3-VL-8B-Instruct.ipynb,yes
google/medgemma-1.5-4b-it,google__medgemma-1.5-4b-it.ipynb,yes
ibm-granite/granite-speech-4.1-2b,ibm-granite__granite-speech-4.1-2b.ipynb,yes
baidu/Qianfan-OCR,baidu__Qianfan-OCR.ipynb,yes
Qwen/Qwen3.5-0.8B,Qwen__Qwen3.5-0.8B.ipynb,yes
zai-org/GLM-OCR,zai-org__GLM-OCR.ipynb,yes
microsoft/VibeVoice-ASR,microsoft__VibeVoice-ASR.ipynb,yes
Qwen/Qwen3.5-2B,Qwen__Qwen3.5-2B.ipynb,yes
microsoft/UserLM-8b,microsoft__UserLM-8b.ipynb,yes
google/gemma-3-4b-it,google__gemma-3-4b-it.ipynb,yes
google/gemma-3-1b-it,google__gemma-3-1b-it.ipynb,yes
microsoft/VibeVoice-1.5B,microsoft__VibeVoice-1.5B.ipynb,yes
Qwen/Qwen3-14B,Qwen__Qwen3-14B.ipynb,yes
openbmb/MiniCPM-o-4_5,openbmb__MiniCPM-o-4_5.ipynb,yes
